,Meta,Omega,A_a,subcycles_osc,p/q,Locking
0,n = 15,0.0013339651523714123,2.0,0.0,0.0,0.0
1,r = 0.5,0.0013339651523714123,2.2222222222222223,0.0,0.0,0.0
2,a_apc = 5,0.0013339651523714123,2.4444444444444446,0.0,0.0,0.0
3,a_cdk = 5,0.0013339651523714123,2.6666666666666665,0.0,0.0,0.0
4,a_e2f = 5,0.0013339651523714123,2.888888888888889,0.0,0.0,0.0
5,deld = 0.05,0.0013339651523714123,3.111111111111111,0.0,0.0,0.0
6,delb = 0.05,0.0013339651523714123,3.333333333333333,0.0,0.0,0.0
7,eps_apc = 100,0.0013339651523714123,3.5555555555555554,0.0,0.0,0.0
8,eps_cdk = 100,0.0013339651523714123,3.7777777777777777,0.0,0.0,0.0
9,eps_e2f = 100,0.0013339651523714123,4.0,0.0,0.0,0.0
10,Kd = 120,0.0013561979049109359,2.0,0.0,0.0,0.0
11,Kb = 40,0.0013561979049109359,2.2222222222222223,0.0,0.0,0.0
12,Kcdk = 20,0.0013561979049109359,2.4444444444444446,0.0,0.0,0.0
13,dsyn = 0.15,0.0013561979049109359,2.6666666666666665,0.0,0.0,0.0
14,ddeg = 0.009,0.0013561979049109359,2.888888888888889,0.0,0.0,0.0
15,tstart = 0,0.0013561979049109359,3.111111111111111,0.0,0.0,0.0
16,tend = 45000,0.0013561979049109359,3.333333333333333,0.0,0.0,0.0
17,t_incr_max = 10,0.0013561979049109359,3.5555555555555554,0.0,0.0,0.0
18,pmax = 5,0.0013561979049109359,3.7777777777777777,0.0,0.0,0.0
19,p_err = 0.005,0.0013561979049109359,4.0,0.0,0.0,0.0
20,0.0,0.0013784306574504592,2.0,0.0,0.0,0.0
21,0.0,0.0013784306574504592,2.2222222222222223,0.0,0.0,0.0
22,0.0,0.0013784306574504592,2.4444444444444446,0.0,0.0,0.0
23,0.0,0.0013784306574504592,2.6666666666666665,0.0,0.0,0.0
24,0.0,0.0013784306574504592,2.888888888888889,0.0,0.0,0.0
25,0.0,0.0013784306574504592,3.111111111111111,0.0,0.0,0.0
26,0.0,0.0013784306574504592,3.333333333333333,0.0,0.0,0.0
