,Meta,c,a,N_ss,SS_pos,Apc_Period,Apc_Amplitude
0,n = 300,0.0,0.0,0.0,0.0,0.0,0.0
1,r = 0.5,0.0,0.2099455524325912,0.0,0.0,0.0,0.0
2,eps = 100,0.0,0.4198911048651824,0.0,0.0,0.0,0.0
3,tstart = 0,0.0,0.6298366572977736,0.0,0.0,0.0,0.0
4,tend = 100,0.0,0.8397822097303648,0.0,0.0,0.0,0.0
5,0.0,0.0,1.049727762162956,0.0,0.0,0.0,0.0
6,0.0,0.0,1.2596733145955472,0.0,0.0,0.0,0.0
7,0.0,0.0,1.4696188670281383,0.0,0.0,0.0,0.0
8,0.0,0.0,1.6795644194607295,0.0,0.0,0.0,0.0
9,0.0,0.0,1.8895099718933208,0.0,0.0,0.0,0.0
10,0.0,0.0,2.099455524325912,0.0,0.0,0.0,0.0
11,0.0,0.0,2.309401076758503,0.0,0.0,0.0,0.0
12,0.0,0.0,2.5193466291910944,0.0,0.0,0.0,0.0
13,0.0,0.0,2.7292921816236855,0.0,0.0,0.0,0.0
14,0.0,0.0,2.9392377340562765,0.0,0.0,0.0,0.0
15,0.0,0.0,3.149183286488868,0.0,0.0,0.0,0.0
16,0.0,0.0,3.359128838921459,0.0,0.0,0.0,0.0
17,0.0,0.0,3.56907439135405,0.0,0.0,0.0,0.0
18,0.0,0.0,3.7790199437866416,0.0,0.0,0.0,0.0
19,0.0,0.0,3.9889654962192327,0.0,0.0,0.0,0.0
20,0.0,0.0,4.198911048651824,0.0,0.0,0.0,0.0
21,0.0,0.0,4.408856601084415,0.0,0.0,0.0,0.0
22,0.0,0.0,4.618802153517006,0.0,0.0,0.0,0.0
23,0.0,0.0,4.828747705949597,0.0,0.0,0.0,0.0
24,0.0,0.0,5.038693258382189,0.0,0.0,0.0,0.0
25,0.0,0.0,5.2486388108147795,0.0,0.0,0.0,0.0
26,0.0,0.0,5.458584363247371,0.0,0.0,0.0,0.0
27,0.0,0.0,5.6685299156799624,0.0,0.0,0.0,0.0
28,0.0,0.0,5.878475468112553,0.0,0.0,0.0,0.0
29,0.0,0.0,6.088421020545145,0.0,0.0,0.0,0.0
30,0.0,0.0,6.298366572977736,0.0,0.0,0.0,0.0
31,0.0,0.0,6.508312125410327,0.0,0.0,0.0,0.0
32,0.0,0.0,6.718257677842918,0.0,0.0,0.0,0.0
33,0.0,0.0,6.92820323027551,0.0,0.0,0.0,0.0
