,Meta,dsyn,ddeg,Period,G1,SG2,M,E2F Amplitude,APC Amplitude
0,n = 15,0.05,0.005,3430.706040759863,2553.3233906639243,758.0374289370084,123.6550457591693,0.9791808918350675,0.9999933676113295
1,r = 0.5,0.05,0.005101010101010101,3548.2094164675664,2662.036919108319,765.487518113905,123.10062313080653,0.9795869034443979,0.9999933692486918
2,a_apc = 5,0.05,0.005202020202020202,3669.728746344769,2775.8762891074,773.0358606384098,122.56796539074912,0.9794243153765277,0.9999933698585581
3,a_cdk = 5,0.05,0.005303030303030303,3780.589581843914,2895.4973913999347,780.3364640652744,122.05796717689918,0.9791745267477489,0.9999933686932337
4,a_e2f = 5,0.05,0.005404040404040404,3913.309656167956,3021.476484214909,787.5325741321831,121.56656401170767,0.9788449293009499,0.999993369298459
5,deld = 0.05,0.05,0.005505050505050505,4055.652105892651,3154.5465972049387,794.5849156289441,121.09538287752093,0.9784424804912746,0.9999933668528703
6,delb = 0.05,0.05,0.005606060606060606,4203.35108409804,3295.5750647453915,801.4549555799413,120.64067251738561,0.9779735753873258,0.9999933659063127
7,eps_apc = 100,0.05,0.005707070707070707,4362.6240212182165,3446.082009826897,808.0913854828841,120.19182303680827,0.9774439707966744,0.999993367287543
8,eps_cdk = 100,0.05,0.005808080808080808,4529.765857123809,3606.2891823322507,810.6822260373701,119.77956113906657,0.977401478706945,0.9999933631401534
9,eps_e2f = 100,0.05,0.005909090909090909,4705.6791642292355,3748.7105339133395,820.4259648613715,119.37052660853806,0.9767268662256526,0.9999933669405858
10,Kd = 120,0.05,0.00601010101010101,4866.965952249824,3937.6810106023663,825.8959817401173,118.97581136869849,0.9760040085876529,0.9999933731892359
11,Kb = 40,0.05,0.0061111111111111106,5079.797066315227,4142.657513653499,830.7535306365971,118.5940156531542,0.9752363983318824,0.0
12,Kcdk = 20,0.05,0.006212121212121212,5311.012670013344,4366.741818430112,834.8166080440315,118.22379245712364,0.9744270744398689,0.0
13,bsyn = 0.03,0.05,0.006313131313131313,5560.729764629162,4614.00778112722,837.8468871523255,117.86534125531398,0.9735787321654668,0.0
14,bdeg = 0.003,0.05,0.006414141414141414,5839.699116165108,4889.947001181994,839.4981691997673,117.51837090072877,0.9726938539814483,0.0
15,tstart = 0,0.05,0.0065151515151515155,6152.992306429995,5214.807166531125,837.0325161284018,117.43227789577941,0.0,0.0
16,tend = 20000,0.05,0.006616161616161616,6510.5716360855395,5551.573552889315,1107.147487566182,117.05748228161428,0.0,0.0
17,dt_max = 10,0.05,0.006717171717171717,6932.947814278321,5977.6561297292665,1085.420450885661,116.6964152706878,0.0,0.0
18,0.0,0.05,0.006818181818181818,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.05,0.006919191919191919,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.05,0.00702020202020202,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.05,0.007121212121212121,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.05,0.007222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.05,0.0073232323232323236,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.05,0.0074242424242424235,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.05,0.007525252525252525,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.05,0.007626262626262626,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.05,0.007727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.05,0.007828282828282828,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.05,0.007929292929292928,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.05,0.00803030303030303,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.05,0.008131313131313132,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.05,0.008232323232323232,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.05,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.05,0.008434343434343433,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.05,0.008535353535353535,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.05,0.008636363636363636,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.05,0.008737373737373736,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.05,0.008838383838383838,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.05,0.008939393939393938,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.05,0.00904040404040404,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.05,0.009141414141414141,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.05,0.009242424242424243,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.05,0.009343434343434343,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.05,0.009444444444444443,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.05,0.009545454545454544,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.05,0.009646464646464646,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.05,0.009747474747474748,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.05,0.009848484848484848,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.05,0.009949494949494948,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.05,0.01005050505050505,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.05,0.010151515151515151,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.05,0.010252525252525253,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.05,0.010353535353535353,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.05,0.010454545454545454,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.05,0.010555555555555554,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.05,0.010656565656565656,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.05,0.010757575757575757,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.05,0.010858585858585859,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.05,0.010959595959595959,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.05,0.011060606060606059,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.05,0.01116161616161616,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.05,0.011262626262626262,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.05,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.05,0.011464646464646464,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.05,0.011565656565656564,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.05,0.011666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.05,0.011767676767676767,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.05,0.011868686868686869,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.05,0.011969696969696969,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.05,0.012070707070707069,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.05,0.01217171717171717,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.05,0.012272727272727272,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.05,0.012373737373737374,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.05,0.012474747474747474,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.05,0.012575757575757575,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.05,0.012676767676767675,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.05,0.012777777777777777,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.05,0.012878787878787878,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.05,0.01297979797979798,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.05,0.013080808080808078,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.05,0.01318181818181818,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.05,0.013282828282828282,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.05,0.013383838383838383,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.05,0.013484848484848485,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.05,0.013585858585858583,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.05,0.013686868686868685,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.05,0.013787878787878786,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.05,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.05,0.01398989898989899,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.05,0.014090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.05,0.01419191919191919,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.05,0.014292929292929291,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.05,0.014393939393939393,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.05,0.014494949494949495,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.05,0.014595959595959596,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.05,0.014696969696969694,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.05,0.014797979797979796,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.05,0.014898989898989898,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.05,0.015,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.05252525252525253,0.005,3120.4108726559252,2256.1949659968705,740.728790800029,124.24286109316745,0.9804622708940937,0.9999933682567776
