,Meta,bsyn,bdeg,Apc_Period_Module,Apc_Amplitude_Module,Apc_Period_MA,Apc_Amplitude_MA
0,CDK_LF = 17.34,0.25,0.05,0.0,0.0,0.0,0.0
1,CDK_RF = 23.9,0.25,0.051449275362318844,0.0,0.0,0.0,0.0
2,APC_LF = 0.6,0.25,0.052898550724637686,0.0,0.0,0.0,0.0
3,APC_RF = 0.36,0.25,0.05434782608695653,0.0,0.0,0.0,0.0
4,APC_lim = 0.95,0.25,0.05579710144927536,0.0,0.0,0.0,0.0
5,n = 5,0.25,0.0572463768115942,0.0,0.0,0.0,0.0
6,GWLtot = 40,0.25,0.058695652173913045,0.0,0.0,0.0,0.0
7,PP2Atot = 40,0.25,0.060144927536231886,0.0,0.0,0.0,0.0
8,ENSAtot = 200,0.25,0.06159420289855073,0.0,0.0,0.0,0.0
9,kpe = 3.9810717055349722,0.25,0.06304347826086956,0.0,0.0,0.0,0.0
10,kpg = 0.0707945784384138,0.25,0.0644927536231884,0.0,0.0,0.0,0.0
11,kdg = 7.079457843841379,0.25,0.06594202898550725,0.0,0.0,0.0,0.0
12,kass1 = 5.011872336272722,0.25,0.06739130434782609,0.0,0.0,0.0,0.0
13,kdis1 = 28.183829312644534,0.25,0.06884057971014493,0.0,0.0,0.0,0.0
14,kcat1 = 15.848931924611133,0.25,0.07028985507246377,0.0,0.0,0.0,0.0
15,kact = 0.6309573444801932,0.25,0.07173913043478261,0.0,0.0,0.0,0.0
16,kinact = 1.5848931924611136,0.25,0.07318840579710145,0.0,0.0,0.0,0.0
17,eps = 500,0.25,0.0746376811594203,0.0,0.0,0.0,0.0
18,tstart = 0,0.25,0.07608695652173914,0.0,0.0,0.0,0.0
19,tend = 333.33333333333337,0.25,0.07753623188405798,0.0,0.0,0.0,0.0
20,0.0,0.25,0.07898550724637682,0.0,0.0,0.0,0.0
21,0.0,0.25,0.08043478260869565,0.0,0.0,0.0,0.0
22,0.0,0.25,0.0818840579710145,0.0,0.0,0.0,0.0
23,0.0,0.25,0.08333333333333333,0.0,0.0,0.0,0.0
