,Meta,c,a_apc,Apc_Period,Apc_Amplitude
0,n = 15,0.0,0.0,0.0,0.0
1,r = 0.5,0.007537688442211055,0.0,0.0,0.0
2,d = 2,0.01507537688442211,0.0,0.0,0.0
3,a_cdk = 0,0.022613065326633167,0.0,0.0,0.0
4,eps_apc = 100,0.03015075376884422,0.0,0.0,0.0
5,eps_cdk = 100,0.03768844221105527,0.0,0.0,0.0
6,tstart = 0,0.04522613065326633,0.0,0.0,0.0
7,tend = 15,0.052763819095477386,0.0,0.0,0.0
8,0.0,0.06030150753768844,0.0,0.0,0.0
9,0.0,0.0678391959798995,0.0,0.0,0.0
10,0.0,0.07537688442211055,0.0,0.0,0.0
11,0.0,0.0829145728643216,0.0,0.0,0.0
12,0.0,0.09045226130653267,0.0,0.0,0.0
13,0.0,0.09798994974874371,0.0,0.0,0.0
14,0.0,0.10552763819095477,0.0,0.0,0.0
15,0.0,0.11306532663316582,0.0,0.0,0.0
16,0.0,0.12060301507537688,0.0,0.0,0.0
17,0.0,0.12814070351758794,0.0,0.0,0.0
18,0.0,0.135678391959799,0.0,0.0,0.0
19,0.0,0.14321608040201003,0.0,0.0,0.0
20,0.0,0.1507537688442211,0.0,0.0,0.0
21,0.0,0.15829145728643215,0.0,0.0,0.0
22,0.0,0.1658291457286432,0.0,0.0,0.0
23,0.0,0.17336683417085427,0.0,0.0,0.0
24,0.0,0.18090452261306533,0.0,0.0,0.0
25,0.0,0.18844221105527637,0.0,0.0,0.0
26,0.0,0.19597989949748743,0.0,0.0,0.0
27,0.0,0.20351758793969849,0.0,0.0,0.0
28,0.0,0.21105527638190955,0.0,0.0,0.0
29,0.0,0.2185929648241206,0.0,0.0,0.0
30,0.0,0.22613065326633164,0.0,0.0,0.0
31,0.0,0.2336683417085427,0.0,0.0,0.0
32,0.0,0.24120603015075376,0.0,0.0,0.0
33,0.0,0.24874371859296482,0.0,0.0,0.0
34,0.0,0.2562814070351759,0.0,0.0,0.0
35,0.0,0.2638190954773869,0.0,0.0,0.0
36,0.0,0.271356783919598,0.0,0.0,0.0
37,0.0,0.27889447236180903,0.0,0.0,0.0
38,0.0,0.28643216080402006,0.0,0.0,0.0
39,0.0,0.29396984924623115,0.0,0.0,0.0
40,0.0,0.3015075376884422,0.0,0.0,0.0
41,0.0,0.30904522613065327,0.0,0.0,0.0
42,0.0,0.3165829145728643,0.0,0.0,0.0
43,0.0,0.32412060301507534,0.0,0.0,0.0
